# this file should contain results information.  The first column should contain something that can be used to link the results to the assays file e.g. Experimental Condition [targeted protein],,
Assay Name,Path,Processed file description
Specimen E1,IsaacEstebanVarela/Collection/E1/SegImgs_E1.tar.xz,Segmentation images corresponding to the assay
Specimen E1,IsaacEstebanVarela/Collection/E1/3Ds_E1.tar.xz,3D reconstruction of the segmentation images of the assay
Specimen E2,IsaacEstebanVarela/Collection/E2/SegImgs_E2.tar.xz,Segmentation images corresponding to the assay
Specimen E2,IsaacEstebanVarela/Collection/E2/3Ds_E2.tar.xz,3D reconstruction of the segmentation images of the assay
Specimen E3,IsaacEstebanVarela/Collection/E3/SegImgs_E3.tar.xz,Segmentation images corresponding to the assay
Specimen E3,IsaacEstebanVarela/Collection/E3/3Ds_E3.tar.xz,3D reconstruction of the segmentation images of the assay
Specimen E4,IsaacEstebanVarela/Collection/E4/SegImgs_E4.tar.xz,Segmentation images corresponding to the assay
Specimen E4,IsaacEstebanVarela/Collection/E4/3Ds_E4.tar.xz,3D reconstruction of the segmentation images of the assay
Specimen E5,IsaacEstebanVarela/Collection/E5/SegImgs_E5.tar.xz,Segmentation images corresponding to the assay
Specimen E5,IsaacEstebanVarela/Collection/E5/3Ds_E5.tar.xz,3D reconstruction of the segmentation images of the assay
Specimen E6,IsaacEstebanVarela/Collection/E6/SegImgs_E6.tar.xz,Segmentation images corresponding to the assay
Specimen E6,IsaacEstebanVarela/Collection/E6/3Ds_E6.tar.xz,3D reconstruction of the segmentation images of the assay
Specimen E7,IsaacEstebanVarela/Collection/E7/SegImgs_E7.tar.xz,Segmentation images corresponding to the assay
Specimen E7,IsaacEstebanVarela/Collection/E7/3Ds_E7.tar.xz,3D reconstruction of the segmentation images of the assay
Specimen E8,IsaacEstebanVarela/Collection/E8/SegImgs_E8.tar.xz,Segmentation images corresponding to the assay
Specimen E8,IsaacEstebanVarela/Collection/E8/3Ds_E8.tar.xz,3D reconstruction of the segmentation images of the assay
Specimen E9,IsaacEstebanVarela/Collection/E9/SegImgs_E9.tar.xz,Segmentation images corresponding to the assay
Specimen E9,IsaacEstebanVarela/Collection/E9/3Ds_E9.tar.xz,3D reconstruction of the segmentation images of the assay
Specimen E10,IsaacEstebanVarela/Collection/E10/SegImgs_E10.tar.xz,Segmentation images corresponding to the assay
Specimen E10,IsaacEstebanVarela/Collection/E10/3Ds_E10.tar.xz,3D reconstruction of the segmentation images of the assay
Specimen E11,IsaacEstebanVarela/Collection/E11/SegImgs_E11.tar.xz,Segmentation images corresponding to the assay
Specimen E11,IsaacEstebanVarela/Collection/E11/3Ds_E11.tar.xz,3D reconstruction of the segmentation images of the assay
Specimen E12,IsaacEstebanVarela/Collection/E12/SegImgs_E12.tar.xz,Segmentation images corresponding to the assay
Specimen E12,IsaacEstebanVarela/Collection/E12/3Ds_E12.tar.xz,3D reconstruction of the segmentation images of the assay
Specimen E13,IsaacEstebanVarela/Collection/E13/SegImgs_E13.tar.xz,Segmentation images corresponding to the assay
Specimen E13,IsaacEstebanVarela/Collection/E13/3Ds_E13.tar.xz,3D reconstruction of the segmentation images of the assay
Specimen E14,IsaacEstebanVarela/Collection/E14/SegImgs_E14.tar.xz,Segmentation images corresponding to the assay
Specimen E14,IsaacEstebanVarela/Collection/E14/3Ds_E14.tar.xz,3D reconstruction of the segmentation images of the assay
Specimen E15,IsaacEstebanVarela/Collection/E15/SegImgs_E15.tar.xz,Segmentation images corresponding to the assay
Specimen E15,IsaacEstebanVarela/Collection/E15/3Ds_E15.tar.xz,3D reconstruction of the segmentation images of the assay
Specimen E16,IsaacEstebanVarela/Collection/E16/SegImgs_E16.tar.xz,Segmentation images corresponding to the assay
Specimen E16,IsaacEstebanVarela/Collection/E16/3Ds_E16.tar.xz,3D reconstruction of the segmentation images of the assay
Specimen E17,IsaacEstebanVarela/Collection/E17/SegImgs_E17.tar.xz,Segmentation images corresponding to the assay
