Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Organism Part],Term Source 2 REF,Term Source 2 Accession,Characteristics [Strain],Experimental Condition [Genotype],Characteristics [Developmental Stage],Experimental Condition [Embryo Collection],Assay Name,Source Name,Image File,Comment [Image File Comments],Comment [Image File Path],Comment [Image File Type],Channels,Phenotype,Phenotype Term Name,Phenotype Term Accession,Phenotype Term Accession URL
Atlas Specimens,E1.lif,Mus musculus,NCBITaxon,NCBITaxon_10090,Heart tube,UBERON,UBERON_0004141,Mixed 129/SvJ x CD1,Wild type (+/+),E7.5,Group 1,Specimen E1,E1,E1.lif,,IsaacEstebanVarela/Collection/E1,Raw image,"Blue channel: cell nucleai,  Green channel: mesoderm,  Red channel: ectoderm and endoderm",,,,
Atlas Specimens,E2.lif,Mus musculus,NCBITaxon,NCBITaxon_10090,Heart tube,UBERON,UBERON_0004141,Mixed 129/SvJ x CD1,Wild type (+/+),E7.5,Group 1,Specimen E2,E2,E2.lif,,IsaacEstebanVarela/Collection/E2,Raw image,"Blue channel: cell nucleai,  Green channel: mesoderm,  Red channel: ectoderm and endoderm",,,,
Atlas Specimens,E3.lif [Region 2] - 1,Mus musculus,NCBITaxon,NCBITaxon_10090,Heart tube,UBERON,UBERON_0004141,Mixed 129/SvJ x CD1,Wild type (+/+),E7.5,Group 1,Specimen E3,E3,E3.lif,,IsaacEstebanVarela/Collection/E3,Raw image,"Blue channel: cell nucleai,  Green channel: mesoderm,  Red channel: ectoderm and endoderm",,,,
Atlas Specimens,E3.lif [Region 2] - 2,Mus musculus,NCBITaxon,NCBITaxon_10090,Heart tube,UBERON,UBERON_0004141,Mixed 129/SvJ x CD1,Wild type (+/+),E7.5,Group 1,Specimen E3,E3,E3.lif,,IsaacEstebanVarela/Collection/E3,Raw image,"Blue channel: cell nucleai,  Green channel: mesoderm,  Red channel: ectoderm and endoderm",,,,
Atlas Specimens,E3.lif [Region 2] - 3,Mus musculus,NCBITaxon,NCBITaxon_10090,Heart tube,UBERON,UBERON_0004141,Mixed 129/SvJ x CD1,Wild type (+/+),E7.5,Group 1,Specimen E3,E3,E3.lif,,IsaacEstebanVarela/Collection/E3,Raw image,"Blue channel: cell nucleai,  Green channel: mesoderm,  Red channel: ectoderm and endoderm",,,,
Atlas Specimens,E3.lif [Region 2] - 4,Mus musculus,NCBITaxon,NCBITaxon_10090,Heart tube,UBERON,UBERON_0004141,Mixed 129/SvJ x CD1,Wild type (+/+),E7.5,Group 1,Specimen E3,E3,E3.lif,,IsaacEstebanVarela/Collection/E3,Raw image,"Blue channel: cell nucleai,  Green channel: mesoderm,  Red channel: ectoderm and endoderm",,,,
Atlas Specimens,E4.lif [E4] - 1,Mus musculus,NCBITaxon,NCBITaxon_10090,Heart tube,UBERON,UBERON_0004141,Mixed 129/SvJ x CD1,Wild type (+/+),E7.5,Group 1,Specimen E4,E4,E4.lif,,IsaacEstebanVarela/Collection/E4,Raw image,"Blue channel: cell nucleai,  Green channel: mesoderm,  Red channel: ectoderm and endoderm",,,,
Atlas Specimens,E4.lif [E4] - 2,Mus musculus,NCBITaxon,NCBITaxon_10090,Heart tube,UBERON,UBERON_0004141,Mixed 129/SvJ x CD1,Wild type (+/+),E7.5,Group 1,Specimen E4,E4,E4.lif,,IsaacEstebanVarela/Collection/E4,Raw image,"Blue channel: cell nucleai,  Green channel: mesoderm,  Red channel: ectoderm and endoderm",,,,
Atlas Specimens,E5.lif,Mus musculus,NCBITaxon,NCBITaxon_10090,Heart tube,UBERON,UBERON_0004141,Mixed 129/SvJ x CD1,Wild type (+/+),E7.5,Group 1,Specimen E5,E5,E5.lif,,IsaacEstebanVarela/Collection/E5,Raw image,"Blue channel: cell nucleai,  Green channel: mesoderm,  Red channel: ectoderm and endoderm",,,,
Atlas Specimens,E6.lif,Mus musculus,NCBITaxon,NCBITaxon_10090,Heart tube,UBERON,UBERON_0004141,Mixed 129/SvJ x CD1,Wild type (+/+),E7.6,Group 2,Specimen E6,E6,E6.lif,,IsaacEstebanVarela/Collection/E6,Raw image,"Blue channel: cell nucleai,  Green channel: mesoderm,  Red channel: ectoderm and endoderm",,,,
Atlas Specimens,E7.lif,Mus musculus,NCBITaxon,NCBITaxon_10090,Heart tube,UBERON,UBERON_0004141,Mixed 129/SvJ x CD1,Wild type (+/+),E7.6,Group 2,Specimen E7,E7,E7.lif,,IsaacEstebanVarela/Collection/E7,Raw image,"Blue channel: cell nucleai,  Green channel: mesoderm,  Red channel: ectoderm and endoderm",,,,
